,Llama 70B | t0.6 | 0/1 GA,Llama 70B | t0.6 | 0/1 BA,Llama 70B | t0.6 | 0/1 MR,Llama 70B | t0.6 | 0/1 ODK,Llama 70B | t0.6 | 0/1 OTK,Llama 70B | t0.6 | 0/1 UR,Llama 70B | t0.6 | 0/1 OT,Llama 70B | t0.6 | 0/1 ML,Llama 70B | t0.01 | 0/1 bias,Llama 70B | t0.6 | 0/1 bias,Llama 70B | t0.6 | 0-5 bin,Claude | t0.6 | 0/1 bias,Claude | t0.6 | 0-5 bin,Claude | t0.6 | 0/1 GA,Claude | t0.6 | 0/1 BA,Claude | t0.6 | 0/1 MR,Claude | t0.6 | 0/1 ODK,Claude | t0.6 | 0/1 OTK,Claude | t0.6 | 0/1 UR,Claude | t0.6 | 0/1 OT,Claude | t0.6 | 0/1 ML,Human |  | is_correct,Human |  | stereotype_aligned,Human |  | 0/1 GA,Human |  | 0/1 BA,Human |  | 0/1 MR,Human |  | 0/1 ODK,Human |  | 0/1 OTK,Human |  | 0/1 UR,Human |  | 0/1 OT,Human |  | 0/1 ML
Llama 70B | t0.6 | 0/1 GA,1.0,0.5476190476190477,0.5,0.9047619047619048,0.7380952380952381,0.6428571428571429,0.35714285714285715,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.47619047619047616,0.8571428571428571,0.9047619047619048,0.9285714285714286,0.6190476190476191,0.5476190476190477,0.9761904761904762,0.6904761904761905,0.6190476190476191,0.4523809523809524,0.7619047619047619,0.5714285714285714,0.7619047619047619,0.8095238095238095,0.5714285714285714,0.7619047619047619,0.9047619047619048,0.7619047619047619,0.7142857142857143,0.42857142857142855,0.7619047619047619
Claude | t0.6 | 0/1 bias,0.8571428571428571,0.5952380952380952,0.6428571428571429,0.7619047619047619,0.5952380952380952,0.7380952380952381,0.5,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6190476190476191,1.0,0.8571428571428571,0.8333333333333334,0.5714285714285714,0.6428571428571429,0.8333333333333334,0.5952380952380952,0.7619047619047619,0.5952380952380952,0.6666666666666666,0.42857142857142855,0.6190476190476191,0.6666666666666666,0.5238095238095238,0.8095238095238095,0.7619047619047619,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.7142857142857143
Claude | t0.6 | 0-5 bin,0.9047619047619048,0.5476190476190477,0.5952380952380952,0.8095238095238095,0.6428571428571429,0.6428571428571429,0.35714285714285715,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.47619047619047616,0.8571428571428571,1.0,0.9285714285714286,0.6190476190476191,0.5,0.8809523809523809,0.6904761904761905,0.6190476190476191,0.4523809523809524,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.8095238095238095,0.5714285714285714,0.6666666666666666,0.8095238095238095,0.7619047619047619,0.6190476190476191,0.42857142857142855,0.6666666666666666
Claude | t0.6 | 0/1 GA,0.9285714285714286,0.5714285714285714,0.5714285714285714,0.8333333333333334,0.6666666666666666,0.6190476190476191,0.38095238095238093,0.6904761904761905,0.6904761904761905,0.7380952380952381,0.5,0.8333333333333334,0.9285714285714286,1.0,0.5952380952380952,0.5476190476190477,0.9047619047619048,0.6904761904761905,0.5952380952380952,0.47619047619047616,0.7142857142857143,0.5476190476190477,0.6904761904761905,0.8333333333333334,0.5476190476190477,0.6904761904761905,0.8333333333333334,0.7857142857142857,0.6428571428571429,0.4523809523809524,0.6904761904761905
Claude | t0.6 | 0/1 BA,0.6190476190476191,0.7857142857142857,0.5,0.6666666666666666,0.6904761904761905,0.5476190476190477,0.16666666666666666,0.7619047619047619,0.7619047619047619,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.6190476190476191,0.5952380952380952,1.0,0.4523809523809524,0.6190476190476191,0.5952380952380952,0.5714285714285714,0.2619047619047619,0.6904761904761905,0.6666666666666666,0.38095238095238093,0.7142857142857143,0.8571428571428571,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.6190476190476191,0.38095238095238093,0.6666666666666666
Claude | t0.6 | 0/1 MR,0.5476190476190477,0.5714285714285714,0.8095238095238095,0.5476190476190477,0.42857142857142855,0.6190476190476191,0.7142857142857143,0.40476190476190477,0.40476190476190477,0.4523809523809524,0.7380952380952381,0.6428571428571429,0.5,0.5476190476190477,0.4523809523809524,1.0,0.5238095238095238,0.5,0.6428571428571429,0.8095238095238095,0.40476190476190477,0.2619047619047619,0.5476190476190477,0.5476190476190477,0.4523809523809524,0.6904761904761905,0.5476190476190477,0.5476190476190477,0.5476190476190477,0.7380952380952381,0.40476190476190477
Claude | t0.6 | 0/1 ODK,0.9761904761904762,0.5238095238095238,0.47619047619047616,0.9285714285714286,0.7142857142857143,0.6190476190476191,0.3333333333333333,0.7857142857142857,0.7857142857142857,0.8333333333333334,0.4523809523809524,0.8333333333333334,0.8809523809523809,0.9047619047619048,0.6190476190476191,0.5238095238095238,1.0,0.6666666666666666,0.5952380952380952,0.42857142857142855,0.7619047619047619,0.5952380952380952,0.7380952380952381,0.7857142857142857,0.5952380952380952,0.7857142857142857,0.9285714285714286,0.7380952380952381,0.7380952380952381,0.4523809523809524,0.7857142857142857
Claude | t0.6 | 0/1 OTK,0.6904761904761905,0.6190476190476191,0.5476190476190477,0.6904761904761905,0.8095238095238095,0.5952380952380952,0.38095238095238093,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.5,0.5952380952380952,0.6904761904761905,0.6904761904761905,0.5952380952380952,0.5,0.6666666666666666,1.0,0.5,0.47619047619047616,0.5952380952380952,0.6428571428571429,0.5,0.6904761904761905,0.5952380952380952,0.5952380952380952,0.6904761904761905,0.7857142857142857,0.5476190476190477,0.35714285714285715,0.5476190476190477
Claude | t0.6 | 0/1 UR,0.6190476190476191,0.5,0.6666666666666666,0.5714285714285714,0.5476190476190477,0.8809523809523809,0.5,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6190476190476191,0.7619047619047619,0.6190476190476191,0.5952380952380952,0.5714285714285714,0.6428571428571429,0.5952380952380952,0.5,1.0,0.5952380952380952,0.6904761904761905,0.42857142857142855,0.38095238095238093,0.47619047619047616,0.6666666666666666,0.6190476190476191,0.5714285714285714,0.5714285714285714,0.7619047619047619,0.5714285714285714,0.6666666666666666
Claude | t0.6 | 0/1 OT,0.4523809523809524,0.38095238095238093,0.7619047619047619,0.35714285714285715,0.38095238095238093,0.5238095238095238,0.8809523809523809,0.21428571428571427,0.21428571428571427,0.2619047619047619,0.8809523809523809,0.5952380952380952,0.4523809523809524,0.47619047619047616,0.2619047619047619,0.8095238095238095,0.42857142857142855,0.47619047619047616,0.5952380952380952,1.0,0.30952380952380953,0.21428571428571427,0.5476190476190477,0.4523809523809524,0.30952380952380953,0.5,0.35714285714285715,0.5952380952380952,0.35714285714285715,0.7380952380952381,0.30952380952380953
Claude | t0.6 | 0/1 ML,0.7619047619047619,0.5,0.38095238095238093,0.7619047619047619,0.7380952380952381,0.7380952380952381,0.21428571428571427,0.9047619047619048,0.9047619047619048,0.8571428571428571,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.6904761904761905,0.40476190476190477,0.7619047619047619,0.5952380952380952,0.6904761904761905,0.30952380952380953,1.0,0.7142857142857143,0.5238095238095238,0.5714285714285714,0.7619047619047619,0.6190476190476191,0.7619047619047619,0.5714285714285714,0.7619047619047619,0.3333333333333333,0.8571428571428571
Human |  | is_correct,0.5714285714285714,0.4523809523809524,0.21428571428571427,0.6666666666666666,0.6428571428571429,0.5,0.21428571428571427,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.23809523809523808,0.42857142857142855,0.5714285714285714,0.5476190476190477,0.6666666666666666,0.2619047619047619,0.5952380952380952,0.6428571428571429,0.42857142857142855,0.21428571428571427,0.7142857142857143,1.0,0.5238095238095238,0.47619047619047616,0.7142857142857143,0.5238095238095238,0.6666666666666666,0.5238095238095238,0.6666666666666666,0.19047619047619047,0.7142857142857143
Human |  | stereotype_aligned,0.7619047619047619,0.30952380952380953,0.40476190476190477,0.6666666666666666,0.5,0.40476190476190477,0.5476190476190477,0.5238095238095238,0.5238095238095238,0.5714285714285714,0.42857142857142855,0.6190476190476191,0.6666666666666666,0.6904761904761905,0.38095238095238093,0.5476190476190477,0.7380952380952381,0.5,0.38095238095238093,0.5476190476190477,0.5238095238095238,0.5238095238095238,1.0,0.5714285714285714,0.3333333333333333,0.6190476190476191,0.6666666666666666,0.5238095238095238,0.47619047619047616,0.47619047619047616,0.5238095238095238
Human |  | 0/1 GA,0.8095238095238095,0.7380952380952381,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.4523809523809524,0.35714285714285715,0.5714285714285714,0.5714285714285714,0.6190476190476191,0.47619047619047616,0.6666666666666666,0.8095238095238095,0.8333333333333334,0.7142857142857143,0.5476190476190477,0.7857142857142857,0.6904761904761905,0.47619047619047616,0.4523809523809524,0.5714285714285714,0.47619047619047616,0.5714285714285714,1.0,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7619047619047619,0.5238095238095238,0.5238095238095238,0.5714285714285714
Human |  | 0/1 BA,0.5714285714285714,0.6428571428571429,0.5,0.6666666666666666,0.6428571428571429,0.6428571428571429,0.21428571428571427,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.3333333333333333,0.5238095238095238,0.5714285714285714,0.5476190476190477,0.8571428571428571,0.4523809523809524,0.5952380952380952,0.5952380952380952,0.6666666666666666,0.30952380952380953,0.7619047619047619,0.7142857142857143,0.3333333333333333,0.5714285714285714,1.0,0.6190476190476191,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.38095238095238093,0.7142857142857143
Human |  | 0/1 MR,0.7619047619047619,0.5952380952380952,0.5952380952380952,0.8571428571428571,0.5952380952380952,0.6428571428571429,0.40476190476190477,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.42857142857142855,0.8095238095238095,0.6666666666666666,0.6904761904761905,0.6190476190476191,0.6904761904761905,0.7857142857142857,0.5952380952380952,0.6190476190476191,0.5,0.6190476190476191,0.5238095238095238,0.6190476190476191,0.5714285714285714,0.6190476190476191,1.0,0.8571428571428571,0.6190476190476191,0.7619047619047619,0.5714285714285714,0.7142857142857143
Human |  | 0/1 ODK,0.9047619047619048,0.5476190476190477,0.4523809523809524,1.0,0.7380952380952381,0.6428571428571429,0.2619047619047619,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.38095238095238093,0.7619047619047619,0.8095238095238095,0.8333333333333334,0.6666666666666666,0.5476190476190477,0.9285714285714286,0.6904761904761905,0.5714285714285714,0.35714285714285715,0.7619047619047619,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.8571428571428571,1.0,0.6666666666666666,0.8095238095238095,0.42857142857142855,0.7619047619047619
Human |  | 0/1 OTK,0.7619047619047619,0.5952380952380952,0.6428571428571429,0.6666666666666666,0.6904761904761905,0.5476190476190477,0.5,0.5238095238095238,0.5238095238095238,0.5714285714285714,0.6190476190476191,0.7142857142857143,0.7619047619047619,0.7857142857142857,0.5714285714285714,0.5476190476190477,0.7380952380952381,0.7857142857142857,0.5714285714285714,0.5952380952380952,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.7619047619047619,0.6190476190476191,0.6190476190476191,0.6666666666666666,1.0,0.47619047619047616,0.47619047619047616,0.5238095238095238
Human |  | 0/1 UR,0.7142857142857143,0.5,0.4523809523809524,0.8095238095238095,0.5952380952380952,0.7857142857142857,0.2619047619047619,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.38095238095238093,0.6666666666666666,0.6190476190476191,0.6428571428571429,0.6190476190476191,0.5476190476190477,0.7380952380952381,0.5476190476190477,0.7619047619047619,0.35714285714285715,0.7619047619047619,0.6666666666666666,0.47619047619047616,0.5238095238095238,0.6666666666666666,0.7619047619047619,0.8095238095238095,0.47619047619047616,1.0,0.42857142857142855,0.8571428571428571
Human |  | 0/1 OT,0.42857142857142855,0.4523809523809524,0.7857142857142857,0.42857142857142855,0.35714285714285715,0.5,0.7380952380952381,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.4523809523809524,0.38095238095238093,0.7380952380952381,0.4523809523809524,0.35714285714285715,0.5714285714285714,0.7380952380952381,0.3333333333333333,0.19047619047619047,0.47619047619047616,0.5238095238095238,0.38095238095238093,0.5714285714285714,0.42857142857142855,0.47619047619047616,0.42857142857142855,1.0,0.38095238095238093
Human |  | 0/1 ML,0.7619047619047619,0.5476190476190477,0.35714285714285715,0.7619047619047619,0.6428571428571429,0.6904761904761905,0.21428571428571427,0.9047619047619048,0.9047619047619048,0.8571428571428571,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.6904761904761905,0.6666666666666666,0.40476190476190477,0.7857142857142857,0.5476190476190477,0.6666666666666666,0.30952380952380953,0.8571428571428571,0.7142857142857143,0.5238095238095238,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.5238095238095238,0.8571428571428571,0.38095238095238093,1.0
