,Llama 70B | t0.6 | 0/1 GA,Llama 70B | t0.6 | 0/1 BA,Llama 70B | t0.6 | 0/1 MR,Llama 70B | t0.6 | 0/1 ODK,Llama 70B | t0.6 | 0/1 OTK,Llama 70B | t0.6 | 0/1 UR,Llama 70B | t0.6 | 0/1 OT,Llama 70B | t0.6 | 0/1 ML,Llama 70B | t0.01 | 0/1 bias,Llama 70B | t0.6 | 0/1 bias,Llama 70B | t0.6 | 0-5 bin,Claude | t0.6 | 0/1 bias,Claude | t0.6 | 0-5 bin,Claude | t0.6 | 0/1 GA,Claude | t0.6 | 0/1 BA,Claude | t0.6 | 0/1 MR,Claude | t0.6 | 0/1 ODK,Claude | t0.6 | 0/1 OTK,Claude | t0.6 | 0/1 UR,Claude | t0.6 | 0/1 OT,Claude | t0.6 | 0/1 ML,Human |  | is_correct,Human |  | stereotype_aligned,Human |  | 0/1 GA,Human |  | 0/1 BA,Human |  | 0/1 MR,Human |  | 0/1 ODK,Human |  | 0/1 OTK,Human |  | 0/1 UR,Human |  | 0/1 OT,Human |  | 0/1 ML
Llama 70B | t0.6 | 0/1 GA,1.0,0.04773269689737469,0.16635160680529293,0.6956521739130435,0.3021148036253777,0.1076487252124646,0.08103727714748776,0.0,0.0,0.27586206896551724,0.1779359430604981,0.6735751295336787,0.7692307692307692,0.821529745042493,-0.050000000000000044,0.17731958762886602,0.9320388349514563,0.3123425692695214,0.1295336787564766,0.15706806282722507,0.17322834645669294,-0.26845637583892623,0.5116279069767442,0.588235294117647,-0.26845637583892623,0.38596491228070173,0.6956521739130435,0.5116279069767442,0.08695652173913038,0.06666666666666665,0.17322834645669294
Claude | t0.6 | 0/1 bias,0.6735751295336787,0.17169373549883993,0.34511434511434513,0.42622950819672123,0.08695652173913049,0.4239401496259352,0.1535508637236085,0.0,0.0,0.1502890173410404,0.32258064516129037,1.0,0.6896551724137931,0.6334164588528679,0.020725388601036232,0.3167028199566161,0.6141732283464567,0.15201900237529686,0.4951923076923077,0.28742514970059874,0.1741573033707865,-0.34042553191489366,0.22935779816513768,0.3098591549295774,-0.11702127659574457,0.5757575757575757,0.42622950819672123,0.42201834862385323,0.19672131147540972,0.22222222222222232,0.2921348314606742
Claude | t0.6 | 0-5 bin,0.7692307692307692,0.06557377049180324,0.2816901408450704,0.5,0.15094339622641517,0.18181818181818177,-0.025316455696202445,0.0,0.0,0.18181818181818188,0.108108108108108,0.6896551724137931,1.0,0.8363636363636364,0.07692307692307687,0.059701492537313494,0.7058823529411764,0.3389830508474576,0.17241379310344818,0.07999999999999996,0.21739130434782605,-0.07999999999999985,0.32258064516129037,0.6,-0.07999999999999985,0.2222222222222222,0.5,0.5161290322580645,0.0,0.0,0.08695652173913038
Claude | t0.6 | 0/1 GA,0.821529745042493,0.11058823529411765,0.2514851485148516,0.5420560747663551,0.18559556786703602,0.10875331564986734,0.040421792618629215,0.0,0.0,0.20069204152249143,0.16635160680529293,0.6334164588528679,0.8363636363636364,1.0,-0.011331444759206777,0.15644820295983097,0.7565217391304347,0.33251833740831294,0.1097256857855361,0.13966480446927365,0.17377049180327875,-0.18397626112759635,0.3695150115473441,0.6474820143884892,-0.18397626112759635,0.26016260162601634,0.5420560747663551,0.5635103926096998,0.01869158878504662,0.0584795321637428,0.10491803278688538
Claude | t0.6 | 0/1 BA,-0.050000000000000044,0.5489260143198091,0.16635160680529293,-0.0652173913043479,0.17522658610271913,-0.13031161473087804,-0.19124797406807126,0.0,0.0,-0.0862068965517242,-0.12099644128113884,0.020725388601036232,0.07692307692307687,-0.011331444759206777,1.0,0.004123711340206171,-0.08737864077669899,0.10075566750629728,0.020725388601036232,-0.1361256544502618,-0.0748031496062993,0.01342281879194629,-0.2697674418604652,0.38235294117647056,0.5771812080536913,0.01754385964912275,-0.0652173913043479,0.1209302325581395,-0.21739130434782616,-0.011111111111111072,-0.15748031496062986
Claude | t0.6 | 0/1 MR,0.17731958762886602,0.15812917594654785,0.5892420537897309,0.20359281437125742,-0.047817047817047875,0.2896405919661734,0.33156498673740054,0.0,0.0,0.06576402321083175,0.4181360201511335,0.3167028199566161,0.059701492537313494,0.15644820295983097,0.004123711340206171,1.0,0.14110429447852757,0.035010940919037226,0.3167028199566161,0.5725190839694656,-0.03143418467583481,-0.3204868154158216,0.10337078651685394,0.11920529801324509,0.020283975659229125,0.4276729559748428,0.20359281437125742,0.10337078651685394,0.20359281437125742,0.4296296296296296,-0.03143418467583481
Claude | t0.6 | 0/1 ODK,0.9320388349514563,-0.007194244604316502,0.13966480446927365,0.7586206896551724,0.2149532710280373,0.02608695652173909,0.071090047393365,0.0,0.0,0.3098591549295774,0.15706806282722507,0.6141732283464567,0.7058823529411764,0.7565217391304347,-0.08737864077669899,0.14110429447852757,1.0,0.25190839694656497,0.06299212598425197,0.1384615384615384,0.11392405063291133,-0.25263157894736854,0.46153846153846145,0.5333333333333333,-0.25263157894736854,0.43243243243243246,0.7586206896551724,0.46153846153846145,0.11494252873563215,0.12021857923497281,0.20253164556962022
Claude | t0.6 | 0/1 OTK,0.3123425692695214,0.22401847575057743,0.15644820295983097,0.2834645669291338,0.5810473815461347,0.1271393643031784,-0.08118811881188104,0.0,0.0,0.021917808219177992,0.0907216494845361,0.15201900237529686,0.3389830508474576,0.33251833740831294,0.10075566750629728,0.035010940919037226,0.25190839694656497,1.0,-0.04750593824228022,0.05521472392638038,0.04289544235924936,0.19023136246786643,-0.009153318077803174,0.36363636363636354,0.0822622107969152,0.11851851851851847,0.2834645669291338,0.5675057208237986,-0.047244094488189115,-0.18867924528301883,-0.06970509383378021
Claude | t0.6 | 0/1 UR,0.1295336787564766,-0.023201856148491684,0.38877338877338874,-0.032786885245901676,-0.020460358056265893,0.7381546134663342,0.1535508637236085,0.0,0.0,0.1502890173410404,0.32258064516129037,0.4951923076923077,0.17241379310344818,0.1097256857855361,0.020725388601036232,0.3167028199566161,0.06299212598425197,-0.04750593824228022,1.0,0.28742514970059874,0.2331460674157303,-0.34042553191489366,-0.2522935779816513,-0.08450704225352124,0.21808510638297873,0.1515151515151515,-0.032786885245901676,0.1330275229357799,0.42622950819672123,0.22222222222222232,0.1741573033707865
Claude | t0.6 | 0/1 OT,0.15706806282722507,-0.17419354838709666,0.3913043478260869,0.08695652173913038,0.0267379679144385,0.21787709497206698,0.5783132530120483,0.0,0.0,0.02690582959641241,0.6601941747572815,0.28742514970059874,0.07999999999999996,0.13966480446927365,-0.1361256544502618,0.5725190839694656,0.1384615384615384,0.05521472392638038,0.28742514970059874,1.0,0.05581395348837215,-0.16080402010050232,0.11920529801324498,-0.012578616352201255,-0.02010050251256268,0.19672131147540994,0.08695652173913038,0.21192052980132448,0.08695652173913038,0.3063063063063063,0.05581395348837215
Claude | t0.6 | 0/1 ML,0.17322834645669294,-0.08353808353808367,0.05372616984402079,-0.12903225806451601,0.14760147601476015,0.24262295081967222,0.02805049088359035,0.0,0.0,-0.06779661016949157,0.06369426751592355,0.1741573033707865,0.21739130434782605,0.17377049180327875,-0.0748031496062993,-0.03143418467583481,0.11392405063291133,0.04289544235924936,0.2331460674157303,0.05581395348837215,1.0,-0.1454545454545455,0.009433962264150941,0.03076923076923066,0.045454545454545414,-0.16666666666666652,-0.12903225806451601,0.10849056603773577,-0.12903225806451601,0.010101010101010055,0.17105263157894735
Human |  | is_correct,-0.26845637583892623,-0.16385542168674694,-0.2715596330275232,-0.19512195121951237,-0.012861736334405016,-0.3086053412462908,-0.06779661016949157,0.0,0.0,-0.08247422680412386,-0.15068493150684925,-0.34042553191489366,-0.07999999999999985,-0.18397626112759635,0.01342281879194629,-0.3204868154158216,-0.25263157894736854,0.19023136246786643,-0.34042553191489366,-0.16080402010050232,-0.1454545454545455,1.0,0.01869158878504662,-0.14925373134328357,0.07352941176470584,-0.2962962962962965,-0.19512195121951237,0.01869158878504662,-0.19512195121951237,-0.2795698924731185,-0.1454545454545455
Human |  | stereotype_aligned,0.5116279069767442,-0.387243735763098,-0.16926503340757248,0.3098591549295774,-0.023201856148491684,-0.21247113163972275,0.1269146608315097,0.0,0.0,0.10426540284360186,-0.11504424778761058,0.22935779816513768,0.32258064516129037,0.3695150115473441,-0.2697674418604652,0.10337078651685394,0.46153846153846145,-0.009153318077803174,-0.2522935779816513,0.11920529801324498,0.009433962264150941,0.01869158878504662,1.0,0.136986301369863,-0.3738317757009346,0.22222222222222232,0.3098591549295774,0.045454545454545414,-0.08450704225352124,-0.02666666666666684,0.009433962264150941
Human |  | 0/1 GA,0.588235294117647,0.46896551724137936,0.32258064516129037,0.36363636363636365,0.23357664233576647,-0.15827338129496393,-0.1595092024539877,0.0,0.0,0.125,0.025316455696202445,0.3098591549295774,0.6,0.6474820143884892,0.38235294117647056,0.11920529801324509,0.5333333333333333,0.36363636363636354,-0.08450704225352124,-0.012578616352201255,0.03076923076923066,-0.14925373134328357,0.136986301369863,1.0,0.05970149253731338,0.08695652173913049,0.36363636363636365,0.5205479452054795,-0.06060606060606055,0.10256410256410253,0.03076923076923066
Human |  | 0/1 BA,-0.26845637583892623,0.24096385542168675,0.1908256880733944,-0.19512195121951237,-0.012861736334405016,0.06528189910979232,-0.06779661016949157,0.0,0.0,-0.08247422680412386,-0.006849315068493178,-0.11702127659574457,-0.07999999999999985,-0.18397626112759635,0.5771812080536913,0.020283975659229125,-0.25263157894736854,0.0822622107969152,0.21808510638297873,-0.02010050251256268,0.045454545454545414,0.07352941176470584,-0.3738317757009346,0.05970149253731338,1.0,-0.0370370370370372,-0.19512195121951237,0.2149532710280373,-0.19512195121951237,0.02150537634408589,-0.1454545454545455
Human |  | 0/1 MR,0.38596491228070173,0.15602836879432624,0.3040935672514621,0.5882352941176471,-0.017094017094017033,0.14634146341463417,0.10256410256410242,0.0,0.0,0.2222222222222222,0.06666666666666665,0.5757575757575757,0.2222222222222222,0.26016260162601634,0.01754385964912275,0.4276729559748428,0.43243243243243246,0.11851851851851847,0.1515151515151515,0.19672131147540994,-0.16666666666666652,-0.2962962962962965,0.22222222222222232,0.08695652173913049,-0.0370370370370372,1.0,0.5882352941176471,0.22222222222222232,0.31372549019607854,0.2758620689655171,0.1250000000000001
Human |  | 0/1 ODK,0.6956521739130435,0.029197080291970656,0.13903743315508021,1.0,0.20618556701030932,0.01869158878504662,0.04405286343612336,0.0,0.0,0.46153846153846156,0.09900990099009888,0.42622950819672123,0.5,0.5420560747663551,-0.0652173913043479,0.20359281437125742,0.7586206896551724,0.2834645669291338,-0.032786885245901676,0.08695652173913038,-0.12903225806451601,-0.19512195121951237,0.3098591549295774,0.36363636363636365,-0.19512195121951237,0.5882352941176471,1.0,0.3098591549295774,0.22222222222222232,0.1250000000000001,-0.12903225806451601
Human |  | 0/1 OTK,0.5116279069767442,0.18678815489749434,0.2984409799554565,0.3098591549295774,0.36658932714617176,0.07852193995381074,0.035010940919037115,0.0,0.0,0.10426540284360186,0.256637168141593,0.42201834862385323,0.5161290322580645,0.5635103926096998,0.1209302325581395,0.10337078651685394,0.46153846153846145,0.5675057208237986,0.1330275229357799,0.21192052980132448,0.10849056603773577,0.01869158878504662,0.045454545454545414,0.5205479452054795,0.2149532710280373,0.22222222222222232,0.3098591549295774,1.0,-0.08450704225352124,-0.02666666666666684,0.009433962264150941
Human |  | 0/1 UR,0.08695652173913038,-0.07299270072992714,0.13903743315508021,0.22222222222222232,-0.22680412371134007,0.41121495327102797,0.04405286343612336,0.0,0.0,0.46153846153846156,0.09900990099009888,0.19672131147540972,0.0,0.01869158878504662,-0.21739130434782616,0.20359281437125742,0.11494252873563215,-0.047244094488189115,0.42622950819672123,0.08695652173913038,-0.12903225806451601,-0.19512195121951237,-0.08450704225352124,-0.06060606060606055,-0.19512195121951237,0.31372549019607854,0.22222222222222232,-0.08450704225352124,1.0,0.1250000000000001,0.32258064516129037
Human |  | 0/1 OT,0.06666666666666665,-0.05228758169934644,0.4878048780487805,0.1250000000000001,-0.06779661016949157,0.14035087719298256,0.2222222222222222,0.0,0.0,0.03921568627450989,0.14035087719298245,0.22222222222222232,0.0,0.0584795321637428,-0.011111111111111072,0.4296296296296296,0.12021857923497281,-0.18867924528301883,0.22222222222222232,0.3063063063063063,0.010101010101010055,-0.2795698924731185,-0.02666666666666684,0.10256410256410253,0.02150537634408589,0.2758620689655171,0.1250000000000001,-0.02666666666666684,0.1250000000000001,1.0,0.08080808080808077
Human |  | 0/1 ML,0.17322834645669294,0.019656019656019597,0.017331022530329254,-0.12903225806451601,-0.16236162361623618,0.10491803278688538,0.02805049088359035,0.0,0.0,-0.06779661016949157,0.06369426751592355,0.2921348314606742,0.08695652173913038,0.10491803278688538,-0.15748031496062986,-0.03143418467583481,0.20253164556962022,-0.06970509383378021,0.1741573033707865,0.05581395348837215,0.17105263157894735,-0.1454545454545455,0.009433962264150941,0.03076923076923066,-0.1454545454545455,0.1250000000000001,-0.12903225806451601,0.009433962264150941,0.32258064516129037,0.08080808080808077,1.0
