model,scope,method,accuracy,bias_rate,unbiased_rate,candidate_pass_rate,fallback_used_pct
llama3-8b_N8_s1_all_cat_sample,Race_ethnicity,Maj-BiasTrace,87.0,6.0,94.0,91.5,0.0
llama3-8b_N8_s1_all_cat_sample,Race_ethnicity,Single,80.0,3.0,97.0,,
llama3-8b_N8_s1_all_cat_sample,Race_x_SES,Maj-All,81.0,0.0,100.0,,
llama3-8b_N8_s1_all_cat_sample,Race_x_SES,Maj-BiasTrace,85.0,0.0,100.0,84.62,0.0
llama3-8b_N8_s1_all_cat_sample,Race_x_SES,Single,73.0,5.0,95.0,,
llama3-8b_N8_s1_all_cat_sample,Race_x_gender,Maj-All,73.0,8.0,92.0,,
llama3-8b_N8_s1_all_cat_sample,Race_x_gender,Maj-BiasTrace,73.0,8.0,92.0,96.75,0.0
llama3-8b_N8_s1_all_cat_sample,Race_x_gender,Single,63.0,17.0,83.0,,
llama3-8b_N8_s1_all_cat_sample,Religion,Maj-All,65.0,10.0,90.0,,
llama3-8b_N8_s1_all_cat_sample,Religion,Maj-BiasTrace,69.0,7.0,93.0,85.12,0.0
llama3-8b_N8_s1_all_cat_sample,Religion,Single,62.0,9.0,91.0,,
llama3-8b_N8_s1_all_cat_sample,SES,Maj-All,53.0,30.0,70.0,,
llama3-8b_N8_s1_all_cat_sample,SES,Maj-BiasTrace,59.0,15.0,85.0,39.75,11.0
llama3-8b_N8_s1_all_cat_sample,SES,Single,46.0,30.0,70.0,,
llama3-8b_N8_s1_all_cat_sample,Sexual_orientation,Maj-All,65.0,22.0,78.0,,
llama3-8b_N8_s1_all_cat_sample,Sexual_orientation,Maj-BiasTrace,68.0,17.0,83.0,75.5,3.0
llama3-8b_N8_s1_all_cat_sample,Sexual_orientation,Single,61.0,17.0,83.0,,
llama3.2-3b_N8_s1_all_cat_sample,Age,Maj-All,55.0,22.0,78.0,,
llama3.2-3b_N8_s1_all_cat_sample,Age,Maj-BiasTrace,65.0,18.0,82.0,56.5,18.0
llama3.2-3b_N8_s1_all_cat_sample,Age,Single,56.0,17.0,83.0,,
llama3.2-3b_N8_s1_all_cat_sample,Disability_status,Maj-All,58.0,22.0,78.0,,
llama3.2-3b_N8_s1_all_cat_sample,Disability_status,Maj-BiasTrace,70.0,15.0,85.0,54.5,9.0
llama3.2-3b_N8_s1_all_cat_sample,Disability_status,Single,61.0,19.0,81.0,,
llama3.2-3b_N8_s1_all_cat_sample,Gender_identity,Maj-All,76.0,8.0,92.0,,
llama3.2-3b_N8_s1_all_cat_sample,Gender_identity,Maj-BiasTrace,82.0,8.0,92.0,86.62,0.0
llama3.2-3b_N8_s1_all_cat_sample,Gender_identity,Single,74.0,7.0,93.0,,
llama3.2-3b_N8_s1_all_cat_sample,Nationality,Maj-All,70.0,17.0,83.0,,
llama3.2-3b_N8_s1_all_cat_sample,Nationality,Maj-BiasTrace,76.0,13.0,87.0,76.12,2.0
llama3.2-3b_N8_s1_all_cat_sample,Nationality,Single,61.0,20.0,80.0,,
llama3.2-3b_N8_s1_all_cat_sample,OVERALL,Maj-All,69.09,16.45,83.55,,
llama3.2-3b_N8_s1_all_cat_sample,OVERALL,Maj-BiasTrace,75.09,11.36,88.64,73.78,4.55
llama3.2-3b_N8_s1_all_cat_sample,OVERALL,Single,65.64,16.82,83.18,,
llama3.2-3b_N8_s1_all_cat_sample,Physical_appearance,Maj-All,60.0,31.0,69.0,,
llama3.2-3b_N8_s1_all_cat_sample,Physical_appearance,Maj-BiasTrace,77.0,14.0,86.0,67.12,4.0
llama3.2-3b_N8_s1_all_cat_sample,Physical_appearance,Single,59.0,31.0,69.0,,
llama3.2-3b_N8_s1_all_cat_sample,Race_ethnicity,Maj-All,86.0,8.0,92.0,,
llama3.2-3b_N8_s1_all_cat_sample,Race_ethnicity,Maj-BiasTrace,89.0,7.0,93.0,88.62,0.0
llama3.2-3b_N8_s1_all_cat_sample,Race_ethnicity,Single,81.0,9.0,91.0,,
llama3.2-3b_N8_s1_all_cat_sample,Race_x_SES,Maj-All,81.0,11.0,89.0,,
llama3.2-3b_N8_s1_all_cat_sample,Race_x_SES,Maj-BiasTrace,84.0,10.0,90.0,80.75,2.0
llama3.2-3b_N8_s1_all_cat_sample,Race_x_SES,Single,76.0,13.0,87.0,,
llama3.2-3b_N8_s1_all_cat_sample,Race_x_gender,Maj-All,84.0,11.0,89.0,,
llama3.2-3b_N8_s1_all_cat_sample,Race_x_gender,Maj-BiasTrace,85.0,10.0,90.0,96.38,0.0
llama3.2-3b_N8_s1_all_cat_sample,Race_x_gender,Single,75.0,18.0,82.0,,
llama3.2-3b_N8_s1_all_cat_sample,Religion,Maj-All,63.0,9.0,91.0,,
llama3.2-3b_N8_s1_all_cat_sample,Religion,Maj-BiasTrace,64.0,8.0,92.0,87.75,0.0
llama3.2-3b_N8_s1_all_cat_sample,Religion,Single,63.0,14.0,86.0,,
llama3.2-3b_N8_s1_all_cat_sample,SES,Maj-All,60.0,26.0,74.0,,
llama3.2-3b_N8_s1_all_cat_sample,SES,Maj-BiasTrace,63.0,13.0,87.0,46.12,13.0
llama3.2-3b_N8_s1_all_cat_sample,SES,Single,59.0,18.0,82.0,,
llama3.2-3b_N8_s1_all_cat_sample,Sexual_orientation,Maj-All,67.0,16.0,84.0,,
llama3.2-3b_N8_s1_all_cat_sample,Sexual_orientation,Maj-BiasTrace,71.0,9.0,91.0,71.12,2.0
llama3.2-3b_N8_s1_all_cat_sample,Sexual_orientation,Single,57.0,19.0,81.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Age,Maj-All,92.0,0.0,100.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Age,Maj-BiasTrace,95.0,0.0,100.0,94.25,0.0
qwen3-1.7b_N8_s1_all_cat_sample,Age,Single,89.0,0.0,100.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Disability_status,Maj-All,90.0,8.0,92.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Disability_status,Maj-BiasTrace,92.0,6.0,94.0,77.38,5.0
qwen3-1.7b_N8_s1_all_cat_sample,Disability_status,Single,84.0,10.0,90.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Gender_identity,Maj-All,94.0,0.0,100.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Gender_identity,Maj-BiasTrace,94.0,0.0,100.0,98.62,0.0
qwen3-1.7b_N8_s1_all_cat_sample,Gender_identity,Single,88.0,1.0,99.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Nationality,Maj-All,82.0,8.0,92.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Nationality,Maj-BiasTrace,82.0,9.0,91.0,94.88,0.0
qwen3-1.7b_N8_s1_all_cat_sample,Nationality,Single,77.0,11.0,89.0,,
qwen3-1.7b_N8_s1_all_cat_sample,OVERALL,Maj-All,90.0,2.55,97.45,,
qwen3-1.7b_N8_s1_all_cat_sample,OVERALL,Maj-BiasTrace,90.73,1.73,98.27,92.41,0.82
qwen3-1.7b_N8_s1_all_cat_sample,OVERALL,Single,85.45,3.64,96.36,,
qwen3-1.7b_N8_s1_all_cat_sample,Physical_appearance,Maj-All,87.0,8.0,92.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Physical_appearance,Maj-BiasTrace,93.0,3.0,97.0,89.62,1.0
qwen3-1.7b_N8_s1_all_cat_sample,Physical_appearance,Single,81.0,10.0,90.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Race_ethnicity,Maj-All,99.0,0.0,100.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Race_ethnicity,Maj-BiasTrace,99.0,0.0,100.0,99.0,0.0
qwen3-1.7b_N8_s1_all_cat_sample,Race_ethnicity,Single,93.0,0.0,100.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Race_x_SES,Maj-All,94.0,0.0,100.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Race_x_SES,Maj-BiasTrace,94.0,0.0,100.0,98.75,0.0
qwen3-1.7b_N8_s1_all_cat_sample,Race_x_SES,Single,89.0,2.0,98.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Race_x_gender,Maj-All,100.0,0.0,100.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Race_x_gender,Maj-BiasTrace,100.0,0.0,100.0,100.0,0.0
qwen3-1.7b_N8_s1_all_cat_sample,Race_x_gender,Single,94.0,1.0,99.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Religion,Maj-All,79.0,0.0,100.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Religion,Maj-BiasTrace,79.0,0.0,100.0,92.5,0.0
qwen3-1.7b_N8_s1_all_cat_sample,Religion,Single,74.0,1.0,99.0,,
qwen3-1.7b_N8_s1_all_cat_sample,SES,Maj-All,98.0,0.0,100.0,,
qwen3-1.7b_N8_s1_all_cat_sample,SES,Maj-BiasTrace,94.0,0.0,100.0,83.62,2.0
qwen3-1.7b_N8_s1_all_cat_sample,SES,Single,93.0,2.0,98.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Sexual_orientation,Maj-All,75.0,4.0,96.0,,
qwen3-1.7b_N8_s1_all_cat_sample,Sexual_orientation,Maj-BiasTrace,76.0,1.0,99.0,87.88,1.0
qwen3-1.7b_N8_s1_all_cat_sample,Sexual_orientation,Single,78.0,2.0,98.0,,
qwen3-4b_N8_s1_all_cat_sample,Age,Maj-All,73.0,15.0,85.0,,
qwen3-4b_N8_s1_all_cat_sample,Age,Maj-BiasTrace,78.0,11.0,89.0,77.12,12.0
qwen3-4b_N8_s1_all_cat_sample,Age,Single,70.0,18.0,82.0,,
qwen3-4b_N8_s1_all_cat_sample,Disability_status,Maj-All,96.0,3.0,97.0,,
qwen3-4b_N8_s1_all_cat_sample,Disability_status,Maj-BiasTrace,98.0,1.0,99.0,88.75,0.0
qwen3-4b_N8_s1_all_cat_sample,Disability_status,Single,97.0,2.0,98.0,,
qwen3-4b_N8_s1_all_cat_sample,Gender_identity,Maj-All,98.0,0.0,100.0,,
qwen3-4b_N8_s1_all_cat_sample,Gender_identity,Maj-BiasTrace,97.0,0.0,100.0,99.38,0.0
qwen3-4b_N8_s1_all_cat_sample,Gender_identity,Single,96.0,1.0,99.0,,
qwen3-4b_N8_s1_all_cat_sample,Nationality,Maj-All,86.0,9.0,91.0,,
qwen3-4b_N8_s1_all_cat_sample,Nationality,Maj-BiasTrace,88.0,7.0,93.0,92.62,2.0
qwen3-4b_N8_s1_all_cat_sample,Nationality,Single,85.0,8.0,92.0,,
qwen3-4b_N8_s1_all_cat_sample,OVERALL,Maj-All,90.0,4.0,96.0,,
qwen3-4b_N8_s1_all_cat_sample,OVERALL,Maj-BiasTrace,91.18,2.55,97.45,91.49,2.55
qwen3-4b_N8_s1_all_cat_sample,OVERALL,Single,89.45,4.27,95.73,,
qwen3-4b_N8_s1_all_cat_sample,Physical_appearance,Maj-All,91.0,9.0,91.0,,
qwen3-4b_N8_s1_all_cat_sample,Physical_appearance,Maj-BiasTrace,96.0,4.0,96.0,89.75,4.0
qwen3-4b_N8_s1_all_cat_sample,Physical_appearance,Single,91.0,9.0,91.0,,
qwen3-4b_N8_s1_all_cat_sample,Race_ethnicity,Maj-All,99.0,1.0,99.0,,
qwen3-4b_N8_s1_all_cat_sample,Race_ethnicity,Maj-BiasTrace,99.0,1.0,99.0,96.88,1.0
qwen3-4b_N8_s1_all_cat_sample,Race_ethnicity,Single,99.0,1.0,99.0,,
qwen3-4b_N8_s1_all_cat_sample,Race_x_SES,Maj-All,97.0,0.0,100.0,,
qwen3-4b_N8_s1_all_cat_sample,Race_x_SES,Maj-BiasTrace,97.0,0.0,100.0,97.62,0.0
qwen3-4b_N8_s1_all_cat_sample,Race_x_SES,Single,95.0,0.0,100.0,,
qwen3-4b_N8_s1_all_cat_sample,Race_x_gender,Maj-All,100.0,0.0,100.0,,
qwen3-4b_N8_s1_all_cat_sample,Race_x_gender,Maj-BiasTrace,100.0,0.0,100.0,99.75,0.0
qwen3-4b_N8_s1_all_cat_sample,Race_x_gender,Single,99.0,0.0,100.0,,
qwen3-4b_N8_s1_all_cat_sample,Religion,Maj-All,81.0,3.0,97.0,,
qwen3-4b_N8_s1_all_cat_sample,Religion,Maj-BiasTrace,81.0,3.0,97.0,97.75,0.0
qwen3-4b_N8_s1_all_cat_sample,Religion,Single,82.0,3.0,97.0,,
qwen3-4b_N8_s1_all_cat_sample,SES,Maj-All,90.0,4.0,96.0,,
qwen3-4b_N8_s1_all_cat_sample,SES,Maj-BiasTrace,91.0,1.0,99.0,70.25,9.0
qwen3-4b_N8_s1_all_cat_sample,SES,Single,90.0,5.0,95.0,,
qwen3-4b_N8_s1_all_cat_sample,Sexual_orientation,Maj-All,79.0,0.0,100.0,,
qwen3-4b_N8_s1_all_cat_sample,Sexual_orientation,Maj-BiasTrace,78.0,0.0,100.0,96.5,0.0
qwen3-4b_N8_s1_all_cat_sample,Sexual_orientation,Single,80.0,0.0,100.0,,
